Sample1	Sample2	GSE70138-Knockdown_96h
TA.KD009_A549_96H:TRCN0000303628:1	TA.KD009_A549_96H:TRCN0000303627:1	-0.0431
TA.KD009_A549_96H:TRCN0000303628:1	TA.KD009_A549_96H:TRCN0000303626:1	0.079
TA.KD009_A549_96H:TRCN0000303628:1	TA.KD009_A549_96H:TRCN0000060193:1	0.0439
TA.KD009_A549_96H:TRCN0000303628:1	TA.KD009_A549_96H:TRCN0000299388:1	-0.0672
TA.KD009_A549_96H:TRCN0000303628:1	TA.KD009_A549_96H:TRCN0000303691:1	0.0557
TA.KD009_A549_96H:TRCN0000303628:1	TA.KD009_A549_96H:TRCN0000060195:1	0.0711
TA.KD009_A549_96H:TRCN0000303627:1	TA.KD009_A549_96H:TRCN0000303626:1	0.0357
TA.KD009_A549_96H:TRCN0000303627:1	TA.KD009_A549_96H:TRCN0000060193:1	-0.003
TA.KD009_A549_96H:TRCN0000303627:1	TA.KD009_A549_96H:TRCN0000299388:1	-0.0026
TA.KD009_A549_96H:TRCN0000303627:1	TA.KD009_A549_96H:TRCN0000303691:1	-0.161
TA.KD009_A549_96H:TRCN0000303627:1	TA.KD009_A549_96H:TRCN0000060195:1	-0.0153
TA.KD009_A549_96H:TRCN0000303626:1	TA.KD009_A549_96H:TRCN0000060193:1	0.1409
TA.KD009_A549_96H:TRCN0000303626:1	TA.KD009_A549_96H:TRCN0000299388:1	0.1087
TA.KD009_A549_96H:TRCN0000303626:1	TA.KD009_A549_96H:TRCN0000303691:1	0.1164
TA.KD009_A549_96H:TRCN0000303626:1	TA.KD009_A549_96H:TRCN0000060195:1	0.1385
TA.KD009_A549_96H:TRCN0000060193:1	TA.KD009_A549_96H:TRCN0000299388:1	0.0968
TA.KD009_A549_96H:TRCN0000060193:1	TA.KD009_A549_96H:TRCN0000303691:1	0.0895
TA.KD009_A549_96H:TRCN0000060193:1	TA.KD009_A549_96H:TRCN0000060195:1	0.0419
TA.KD009_A549_96H:TRCN0000299388:1	TA.KD009_A549_96H:TRCN0000303691:1	-0.0778
TA.KD009_A549_96H:TRCN0000299388:1	TA.KD009_A549_96H:TRCN0000060195:1	0.0813
TA.KD009_A549_96H:TRCN0000303691:1	TA.KD009_A549_96H:TRCN0000060195:1	0.2498
TA.KD009_A549_96H:TRCN0000046411:1	TA.KD009_A549_96H:TRCN0000046409:1	-0.1281
TA.KD009_A549_96H:TRCN0000046411:1	TA.KD009_A549_96H:TRCN0000288738:1	0.1974
TA.KD009_A549_96H:TRCN0000046411:1	TA.KD009_A549_96H:TRCN0000046410:1	-0.0796
TA.KD009_A549_96H:TRCN0000046411:1	TA.KD009_A549_96H:TRCN0000288812:1	0.1098
TA.KD009_A549_96H:TRCN0000046411:1	CGS001_A549_96H:AKR1B1:1	-0.0714
TA.KD009_A549_96H:TRCN0000046409:1	TA.KD009_A549_96H:TRCN0000288738:1	-0.0781
TA.KD009_A549_96H:TRCN0000046409:1	TA.KD009_A549_96H:TRCN0000046410:1	0.2971
TA.KD009_A549_96H:TRCN0000046409:1	TA.KD009_A549_96H:TRCN0000288812:1	0.019
TA.KD009_A549_96H:TRCN0000046409:1	CGS001_A549_96H:AKR1B1:1	0.3344
TA.KD009_A549_96H:TRCN0000288738:1	TA.KD009_A549_96H:TRCN0000046410:1	-0.0597
TA.KD009_A549_96H:TRCN0000288738:1	TA.KD009_A549_96H:TRCN0000288812:1	0.1059
TA.KD009_A549_96H:TRCN0000288738:1	CGS001_A549_96H:AKR1B1:1	-0.0575
TA.KD009_A549_96H:TRCN0000046410:1	TA.KD009_A549_96H:TRCN0000288812:1	0.0187
TA.KD009_A549_96H:TRCN0000046410:1	CGS001_A549_96H:AKR1B1:1	0.399
TA.KD009_A549_96H:TRCN0000288812:1	CGS001_A549_96H:AKR1B1:1	0.0176
TA.KD010_A549_96H:TRCN0000288787:1	TA.KD010_A549_96H:TRCN0000295915:1	0.0731
