Sample1	Sample2	CMap2020-Overexpression_96h
TA.OE012_A549_96H:BRDN0000552296:-666	TA.OE014_A549_96H:BRDN0000552296:-666	0.5656
TA.OE012_A549_96H:BRDN0000552414:-666	TA.OE014_A549_96H:BRDN0000552414:-666	0.5927
TA.OE014_A549_96H:BRDN0000553021:-666	TA.OE012_A549_96H:BRDN0000553021:-666	0.3813
TA.OE014_A549_96H:BRDN0000553117:-666	TA.OE012_A549_96H:BRDN0000553117:-666	0.5554
TA.OE014_A549_96H:BRDN0000553159:-666	TA.OE012_A549_96H:BRDN0000553159:-666	0.7025
TA.OE014_A549_96H:BRDN0000553346:-666	TA.OE012_A549_96H:BRDN0000553346:-666	0.6165
TA.OE012_A549_96H:BRDN0000553554:-666	TA.OE014_A549_96H:BRDN0000553554:-666	0.8107
TA.OE015_A549_96H:BRDN0000553674:-666	TA.OE013_A549_96H:BRDN0000553674:-666	0.7004
TA.OE013_A549_96H:BRDN0000553686:-666	TA.OE015_A549_96H:BRDN0000553686:-666	0.5779
TA.OE012_A549_96H:BRDN0000553715:-666	TA.OE014_A549_96H:BRDN0000553715:-666	0.5838
TA.OE012_A549_96H:BRDN0000554075:-666	TA.OE014_A549_96H:BRDN0000554075:-666	0.7123
TA.OE014_A549_96H:BRDN0000554280:-666	TA.OE012_A549_96H:BRDN0000554280:-666	0.5319
TA.OE014_A549_96H:BRDN0000560330:-666	TA.OE012_A549_96H:BRDN0000560330:-666	0.5234
TA.OE014_A549_96H:BRDN0000560407:-666	TA.OE012_A549_96H:BRDN0000560407:-666	0.7341
TA.OE012_A549_96H:BRDN0000560659:-666	TA.OE014_A549_96H:BRDN0000560659:-666	0.5313
TA.OE012_A549_96H:BRDN0000561642:-666	TA.OE014_A549_96H:BRDN0000561642:-666	0.845
TA.OE012_A549_96H:BRDN0000561657:-666	TA.OE014_A549_96H:BRDN0000561657:-666	0.6724
OFL001_MCF7_96H:N11	OFL002_MCF7_96H:C24	0.3208
TA.OE012_A549_96H:TRCN0000467427:-666	TA.OE014_A549_96H:TRCN0000467427:-666	0.4043
TA.OE015_A549_96H:TRCN0000468888:-666	TA.OE013_A549_96H:TRCN0000468888:-666	0.8096
OFL002_A549_96H:J07	TA.OE013_A549_96H:TRCN0000469733:-666	0.6227
OFL002_A549_96H:J07	TA.OE015_A549_96H:TRCN0000469733:-666	0.7592
TA.OE013_A549_96H:TRCN0000469733:-666	TA.OE015_A549_96H:TRCN0000469733:-666	0.6537
OFL002_A549_96H:B04	OFL001_A549_96H:B04	0.8956
OFL002_A549_96H:B04	TA.OE012_A549_96H:TRCN0000473508:-666	0.7041
OFL002_A549_96H:B04	TA.OE014_A549_96H:TRCN0000473508:-666	0.7676
OFL001_A549_96H:B04	TA.OE012_A549_96H:TRCN0000473508:-666	0.7403
OFL001_A549_96H:B04	TA.OE014_A549_96H:TRCN0000473508:-666	0.7976
TA.OE012_A549_96H:TRCN0000473508:-666	TA.OE014_A549_96H:TRCN0000473508:-666	0.8245
OFL001_MCF7_96H:B04	OFL002_MCF7_96H:B04	0.8605
TA.OE013_A549_96H:TRCN0000479793:-666	TA.OE015_A549_96H:TRCN0000479793:-666	0.8425
TA.OE014_A549_96H:TRCN0000480103:-666	TA.OE013_A549_96H:TRCN0000480103:-666	0.8313
TA.OE014_A549_96H:TRCN0000480103:-666	TA.OE012_A549_96H:TRCN0000480103:-666	0.8254
TA.OE013_A549_96H:TRCN0000480103:-666	TA.OE012_A549_96H:TRCN0000480103:-666	0.8177
