Sample1	Sample2	dose0.01uM-1uM_time24
REP.A011_HT29_24H:A12	REP.A011_HT29_24H:A10	0.568
REP.A011_MCF10A_24H:A10	REP.A011_MCF10A_24H:A12	0.4838
PBIOA019_HCC515_24H:L11	PBIOA019_HCC515_24H:L10	0.5644
HOG001_A549_24H:BRD-A13122391-001-01-9:0.1234	HOG001_A549_24H:BRD-A13122391-001-01-9:0.0412	0.411
AICHI002_BJAB_24H:M21	AICHI002_BJAB_24H:M22	0.452
PCLB002_HA1E_24H:BRD-A19037878:0.12	PCLB002_HA1E_24H:BRD-A19037878:0.04	0.7559
AICHI002_HBL1_24H:M21	AICHI002_HBL1_24H:M22	0.6704
PCLB002_HEPG2_24H:BRD-A19037878:0.37	PCLB002_HEPG2_24H:BRD-A19037878:0.04	0.7519
GMB001_HT29_24H:BRD-A19037878:0.4	GMB001_HT29_24H:BRD-A19037878:0.08	0.7183
AICHI002_NALM6_24H:M22	AICHI002_NALM6_24H:M21	0.4119
AICHI001_OCILY19_24H:M22	AICHI001_OCILY19_24H:M23	0.4336
AICHI001_OCILY3_24H:M21	AICHI001_OCILY3_24H:M22	0.5126
AICHI002_SKMEL5_24H:M21	AICHI002_SKMEL5_24H:M22	0.1579
AICHI001_TMD8_24H:M22	AICHI001_TMD8_24H:M21	0.6203
AICHI001_TMD8_24H:M22	AICHI001_TMD8_24H:M23	0.3565
AICHI001_TMD8_24H:M21	AICHI001_TMD8_24H:M23	0.0875
AICHI002_TMD8_24H:M21	AICHI002_TMD8_24H:M22	0.3041
PCLB003_A549_24H:BRD-A19500257-001-01-3:0.12	PCLB003_A549_24H:BRD-A19500257-001-01-3:0.37	0.8366
LJP006_HA1E_24H:O05	LJP006_HA1E_24H:O06	0.3763
CRCGN005_HEPG2_24H:BRD-A19500257:0.08	CRCGN005_HEPG2_24H:BRD-A19500257:0.74	0.8201
ERG015_VCAP_24H:BRD-A19500257-001-01-3:0.4	ERG015_VCAP_24H:BRD-A19500257-001-01-3:0.08	0.632
REP.B004_HELA_24H:F03	REP.B004_HELA_24H:F05	0.3323
REP.B004_HELA_24H:F03	REP.B004_HELA_24H:F02	0.6326
REP.B004_HELA_24H:F05	REP.B004_HELA_24H:F02	0.21
LJP006_SKBR3_24H:G10	LJP006_SKBR3_24H:G11	0.2594
REP.A001_A375_24H:G05	REP.A001_A375_24H:G04	0.6238
REP.B001_A375_24H:G02	REP.B001_A375_24H:G03	0.4859
POL001_HEPG2_24H:H04	POL001_HEPG2_24H:H05	0.3542
POL001_HEPG2_24H:D17	POL001_HEPG2_24H:D18	0.6835
POL001_HEPG2_24H:D17	POL001_HEPG2_24H:D16	0.929
POL001_HEPG2_24H:D18	POL001_HEPG2_24H:D16	0.6348
POL001_PC3_24H:D16	POL001_PC3_24H:D17	0.6412
REP.A003_A375_24H:O10	REP.A003_A375_24H:O11	0.784
REP.B003_HA1E_24H:O10	REP.B003_HA1E_24H:O09	0.4914
REP.A003_HELA_24H:O11	REP.A003_HELA_24H:O10	0.7926
REP.B003_PC3_24H:O10	REP.B003_PC3_24H:O08	0.6216
LUNG001_1HAE_24H:BRD-A39996500:0.04	LUNG001_1HAE_24H:BRD-A39996500:0.37	0.4695
LJP005_BT20_24H:K10	LJP005_BT20_24H:K12	0.4455
LJP006_HA1E_24H:K12	LJP006_HA1E_24H:K10	0.2502
LUNG001_HFL1_24H:BRD-A39996500:0.37	LUNG001_HFL1_24H:BRD-A39996500:0.04	0.6961
LUNG001_IMR90_24H:BRD-A39996500:0.12	LUNG001_IMR90_24H:BRD-A39996500:0.04	0.3791
POL001_PC3_24H:H17	POL001_PC3_24H:H16	0.7638
REP.A019_HELA_24H:I10	REP.A019_HELA_24H:I11	0.2956
EMU001_BJAB_24H:F09	EMU001_BJAB_24H:F10	0.6422
EMU001_BJAB_24H:F09	EMU001_BJAB_24H:F11	0.3162
EMU001_BJAB_24H:F10	EMU001_BJAB_24H:F11	0.5702
EMU001_HBL1_24H:F10	EMU001_HBL1_24H:F09	0.649
EMU001_K562_24H:F10	EMU001_K562_24H:F09	0.5539
EMU001_K562_24H:F10	EMU001_K562_24H:F11	0.4058
EMU001_K562_24H:F09	EMU001_K562_24H:F11	0.0655
PCLB003_MCF7_24H:BRD-A52530684-003-01-7:0.12	PCLB003_MCF7_24H:BRD-A52530684-003-01-7:0.37	0.8119
EMU001_MINO_24H:F10	EMU001_MINO_24H:F09	0.3387
EMU001_MINO_24H:F10	EMU001_MINO_24H:F11	0.2348
EMU001_MINO_24H:F09	EMU001_MINO_24H:F11	-0.0536
EMU001_NALM6_24H:F10	EMU001_NALM6_24H:F11	0.4691
EMU001_OCILY10_24H:F11	EMU001_OCILY10_24H:F10	0.1656
EMU001_OCILY19_24H:F11	EMU001_OCILY19_24H:F10	0.4847
EMU001_OCILY3_24H:F10	EMU001_OCILY3_24H:F09	0.6175
PCLB003_PC3_24H:BRD-A52530684-003-01-7:0.37	PCLB003_PC3_24H:BRD-A52530684-003-01-7:0.04	0.5671
EMU001_THP1_24H:F09	EMU001_THP1_24H:F10	0.4919
EMU001_THP1_24H:F09	EMU001_THP1_24H:F11	-0.0679
EMU001_THP1_24H:F10	EMU001_THP1_24H:F11	0.2481
EMU001_TMD8_24H:F11	EMU001_TMD8_24H:F10	0.4115
HOG001_A549_24H:BRD-A52650764-001-01-0:0.1235	HOG001_A549_24H:BRD-A52650764-001-01-0:0.3704	0.7135
