Sample1	Sample2	dose1uM-100uM_time6
HOG002_A549_6H:BRD-A02481876-001-09-9:10	HOG002_A549_6H:BRD-A02481876-001-09-9:1.11	0.1062
ERG005_VCAP_6H:BRD-A06304526-001-01-0:1	ERG005_VCAP_6H:BRD-A06304526-001-01-0:20	0.151
LCP001_MCF10A.WT_3H:J15	LCP001_MCF10A.WT_6H:J13	0.2322
CPC013_A375_6H:BRD-A10523515-001-02-0:10	CPC013_A375_6H:BRD-A10523515-001-01-2:10	0.2416
CVD001_HEPG2_6H:BRD-A13020530-001-01-7:10	CVD001_HEPG2_6H:BRD-A13020530-001-01-7:2.5	0.2925
CVD001_HUH7_6H:BRD-A13020530-001-01-7:10	CVD001_HUH7_6H:BRD-A13020530-001-01-7:2.5	0.1277
KTOX002_HPTEC_6H:BRD-A13084692:100	KTOX002_HPTEC_6H:BRD-A13084692:10	0.2824
KTOX002_HPTEC_6H:BRD-A13084692:100	KTOX002_HPTEC_6H:BRD-A13084692:31.62	0.3135
KTOX002_HPTEC_6H:BRD-A13084692:10	KTOX002_HPTEC_6H:BRD-A13084692:31.62	0.4549
CVD001_HEPG2_6H:BRD-A15113563-001-01-8:2.5	CVD001_HEPG2_6H:BRD-A15113563-001-01-8:10	0.3962
HOG003_MCF7_6H:BRD-A18763547-300-04-8:10	HOG003_MCF7_6H:BRD-A18763547-300-04-8:3.3333	0.3464
CPC012_A549_6H:BRD-A19248578-001-03-7:10	CPC012_A549_6H:BRD-A19248578-001-02-9:10	0.3762
CPC012_HT29_6H:BRD-A19248578-001-03-7:10	CPC012_HT29_6H:BRD-A19248578-001-02-9:10	0.3657
LCP001_MCF10A.WT_3H:A13	LCP001_MCF10A.WT_6H:A14	0.4317
LCP001_MCF10A.WT_3H:A13	LCP001_MCF10A.WT_6H:A13	0.6376
LCP001_MCF10A.WT_6H:A14	LCP001_MCF10A.WT_6H:A13	0.651
CRCGN014_HEPG2_3H:BRD-A19500257:5	CRCGN014_HEPG2_3H:BRD-A19500257:2.5	0.5523
HOG002_MCF7_6H:BRD-A19500257-001-01-3:10	HOG002_MCF7_6H:BRD-A19500257-001-01-3:3.33	0.6434
