Sample1	Sample2	Jaccard	Pearson	Spearman	Cosine_diffshRNA
TA.KD009_A549_96H:TRCN0000303628:1	TA.KD009_A549_96H:TRCN0000303627:1	0.454	-0.0461	-0.0999	-0.0431
TA.KD009_A549_96H:TRCN0000303628:1	TA.KD009_A549_96H:TRCN0000303626:1	0.5665	0.0756	0.1423	0.079
TA.KD009_A549_96H:TRCN0000303628:1	TA.KD009_A549_96H:TRCN0000060193:1	0.5225	0.0388	0.0395	0.0439
TA.KD009_A549_96H:TRCN0000303628:1	TA.KD009_A549_96H:TRCN0000299388:1	0.4325	-0.0713	-0.1127	-0.0672
TA.KD009_A549_96H:TRCN0000303628:1	TA.KD009_A549_96H:TRCN0000303691:1	0.5644	0.0526	0.1057	0.0557
TA.KD009_A549_96H:TRCN0000303628:1	TA.KD009_A549_96H:TRCN0000060195:1	0.5665	0.0687	0.1399	0.0711
TA.KD009_A549_96H:TRCN0000303627:1	TA.KD009_A549_96H:TRCN0000303626:1	0.4847	0.0337	-0.0075	0.0357
TA.KD009_A549_96H:TRCN0000303627:1	TA.KD009_A549_96H:TRCN0000060193:1	0.4714	-0.0061	-0.0671	-0.003
TA.KD009_A549_96H:TRCN0000303627:1	TA.KD009_A549_96H:TRCN0000299388:1	0.4796	-0.0048	-0.0388	-0.0026
TA.KD009_A549_96H:TRCN0000303627:1	TA.KD009_A549_96H:TRCN0000303691:1	0.4335	-0.1632	-0.1958	-0.161
TA.KD009_A549_96H:TRCN0000303627:1	TA.KD009_A549_96H:TRCN0000060195:1	0.4601	-0.0169	-0.0967	-0.0153
TA.KD009_A549_96H:TRCN0000303626:1	TA.KD009_A549_96H:TRCN0000060193:1	0.5429	0.1376	0.1478	0.1409
TA.KD009_A549_96H:TRCN0000303626:1	TA.KD009_A549_96H:TRCN0000299388:1	0.5041	0.1062	0.0556	0.1087
TA.KD009_A549_96H:TRCN0000303626:1	TA.KD009_A549_96H:TRCN0000303691:1	0.5337	0.1143	0.1127	0.1164
TA.KD009_A549_96H:TRCN0000303626:1	TA.KD009_A549_96H:TRCN0000060195:1	0.5665	0.1369	0.1684	0.1385
TA.KD009_A549_96H:TRCN0000060193:1	TA.KD009_A549_96H:TRCN0000299388:1	0.5112	0.0931	0.0562	0.0968
TA.KD009_A549_96H:TRCN0000060193:1	TA.KD009_A549_96H:TRCN0000303691:1	0.5429	0.0863	0.0984	0.0895
TA.KD009_A549_96H:TRCN0000060193:1	TA.KD009_A549_96H:TRCN0000060195:1	0.5225	0.0392	0.0567	0.0419
TA.KD009_A549_96H:TRCN0000299388:1	TA.KD009_A549_96H:TRCN0000303691:1	0.4468	-0.0806	-0.1185	-0.0778
TA.KD009_A549_96H:TRCN0000299388:1	TA.KD009_A549_96H:TRCN0000060195:1	0.5041	0.0794	0.0118	0.0813
TA.KD009_A549_96H:TRCN0000303691:1	TA.KD009_A549_96H:TRCN0000060195:1	0.6196	0.2486	0.325	0.2498
EKW001_PC3_120H:TRCN0000045913:2	EKW001_PC3_120H:TRCN0000045915:2	0.5307	0.1371	0.1226	0.1374
EKW001_PC3_120H:TRCN0000045913:2	EKW001_PC3_120H:TRCN0000045917:2	0.544	0.1564	0.1777	0.1576
EKW001_PC3_120H:TRCN0000045915:2	EKW001_PC3_120H:TRCN0000045917:2	0.5286	0.0962	0.0724	0.0969
EKW001_SHSY5Y_120H:TRCN0000045915:2	EKW001_SHSY5Y_120H:TRCN0000045917:2	0.454	-0.015	-0.078	-0.0169
EKW001_SHSY5Y_120H:TRCN0000045915:2	EKW001_SHSY5Y_120H:TRCN0000045913:2	0.6462	0.3948	0.408	0.3964
EKW001_SHSY5Y_120H:TRCN0000045917:2	EKW001_SHSY5Y_120H:TRCN0000045913:2	0.3978	-0.1408	-0.2384	-0.143
EKW001_PC3_120H:TRCN0000276220:2	EKW001_PC3_120H:TRCN0000276219:2	0.546	0.1538	0.1415	0.1552
EKW001_PC3_120H:TRCN0000276220:2	EKW001_PC3_120H:TRCN0000349687:2	0.5317	0.1686	0.1266	0.1715
EKW001_PC3_120H:TRCN0000276220:2	CGS001_PC3_120H:ACTB:2	0.6503	0.4766	0.4426	0.4791
EKW001_PC3_120H:TRCN0000276219:2	EKW001_PC3_120H:TRCN0000349687:2	0.6012	0.2838	0.3024	0.2845
EKW001_PC3_120H:TRCN0000276219:2	CGS001_PC3_120H:ACTB:2	0.8078	0.8334	0.8202	0.8332
EKW001_PC3_120H:TRCN0000349687:2	CGS001_PC3_120H:ACTB:2	0.7219	0.6855	0.6634	0.6863
EKW001_SHSY5Y_120H:TRCN0000276220:2	EKW001_SHSY5Y_120H:TRCN0000276219:2	0.545	0.0935	0.0699	0.0951
EKW001_SHSY5Y_120H:TRCN0000276220:2	EKW001_SHSY5Y_120H:TRCN0000349687:2	0.5409	0.0995	0.0834	0.1011
EKW001_SHSY5Y_120H:TRCN0000276219:2	EKW001_SHSY5Y_120H:TRCN0000349687:2	0.7188	0.537	0.5605	0.5389
TA.KD009_A549_96H:TRCN0000046411:1	TA.KD009_A549_96H:TRCN0000046409:1	0.4162	-0.1288	-0.197	-0.1281
TA.KD009_A549_96H:TRCN0000046411:1	TA.KD009_A549_96H:TRCN0000288738:1	0.593	0.1938	0.2365	0.1974
TA.KD009_A549_96H:TRCN0000046411:1	TA.KD009_A549_96H:TRCN0000046410:1	0.4172	-0.0803	-0.1812	-0.0796
TA.KD009_A549_96H:TRCN0000046411:1	TA.KD009_A549_96H:TRCN0000288812:1	0.5685	0.1075	0.143	0.1098
TA.KD009_A549_96H:TRCN0000046411:1	CGS001_A549_96H:AKR1B1:1	0.456	-0.0717	-0.1363	-0.0714
TA.KD009_A549_96H:TRCN0000046409:1	TA.KD009_A549_96H:TRCN0000288738:1	0.4387	-0.0788	-0.1389	-0.0781
TA.KD009_A549_96H:TRCN0000046409:1	TA.KD009_A549_96H:TRCN0000046410:1	0.6247	0.2971	0.3127	0.2971
TA.KD009_A549_96H:TRCN0000046409:1	TA.KD009_A549_96H:TRCN0000288812:1	0.4663	0.0187	-0.0513	0.019
TA.KD009_A549_96H:TRCN0000046409:1	CGS001_A549_96H:AKR1B1:1	0.6431	0.3344	0.3792	0.3344
TA.KD009_A549_96H:TRCN0000288738:1	TA.KD009_A549_96H:TRCN0000046410:1	0.456	-0.0605	-0.1089	-0.0597
TA.KD009_A549_96H:TRCN0000288738:1	TA.KD009_A549_96H:TRCN0000288812:1	0.544	0.1031	0.1196	0.1059
TA.KD009_A549_96H:TRCN0000288738:1	CGS001_A549_96H:AKR1B1:1	0.4683	-0.0578	-0.0674	-0.0575
TA.KD009_A549_96H:TRCN0000046410:1	TA.KD009_A549_96H:TRCN0000288812:1	0.4683	0.0183	-0.0531	0.0187
TA.KD009_A549_96H:TRCN0000046410:1	CGS001_A549_96H:AKR1B1:1	0.6892	0.399	0.4792	0.399
TA.KD009_A549_96H:TRCN0000288812:1	CGS001_A549_96H:AKR1B1:1	0.4581	0.0176	0.0026	0.0176
TA.KD010_A549_96H:TRCN0000288787:1	TA.KD010_A549_96H:TRCN0000295915:1	0.5	0.0713	0.0171	0.0731
TA.KD010_A549_96H:TRCN0000288787:1	TA.KD010_A549_96H:TRCN0000010171:1	0.4192	-0.1286	-0.1882	-0.1261
TA.KD010_A549_96H:TRCN0000288787:1	TA.KD010_A549_96H:TRCN0000010163:1	0.5542	0.1665	0.154	0.1672
TA.KD010_A549_96H:TRCN0000288787:1	TA.KD010_A549_96H:TRCN0000288786:1	0.5133	0.0576	0.0221	0.0593
TA.KD010_A549_96H:TRCN0000288787:1	TA.KD010_A549_96H:TRCN0000295914:1	0.5235	0.1338	0.095	0.1362
TA.KD010_A549_96H:TRCN0000288787:1	TA.KD010_A549_96H:TRCN0000039795:1	0.5389	0.0997	0.0919	0.1015
TA.KD010_A549_96H:TRCN0000288787:1	TA.KD010_A549_96H:TRCN0000221552:1	0.5174	0.0774	0.0636	0.0786
TA.KD010_A549_96H:TRCN0000288787:1	CGS001_A549_96H:AKT1:1	0.5992	0.3527	0.3162	0.3539
TA.KD010_A549_96H:TRCN0000295915:1	TA.KD010_A549_96H:TRCN0000010171:1	0.5133	0.0411	0.0418	0.0437
TA.KD010_A549_96H:TRCN0000295915:1	TA.KD010_A549_96H:TRCN0000010163:1	0.5245	0.1517	0.1147	0.1526
TA.KD010_A549_96H:TRCN0000295915:1	TA.KD010_A549_96H:TRCN0000288786:1	0.4775	-0.0269	-0.0722	-0.0246
TA.KD010_A549_96H:TRCN0000295915:1	TA.KD010_A549_96H:TRCN0000295914:1	0.5143	0.0739	0.0634	0.0771
TA.KD010_A549_96H:TRCN0000295915:1	TA.KD010_A549_96H:TRCN0000039795:1	0.4826	0.0557	-0.0044	0.0579
TA.KD010_A549_96H:TRCN0000295915:1	TA.KD010_A549_96H:TRCN0000221552:1	0.4775	0.0223	-0.0659	0.0238
TA.KD010_A549_96H:TRCN0000295915:1	CGS001_A549_96H:AKT1:1	0.5143	0.1814	0.1081	0.1834
TA.KD010_A549_96H:TRCN0000010171:1	TA.KD010_A549_96H:TRCN0000010163:1	0.4499	-0.0327	-0.0646	-0.0313
TA.KD010_A549_96H:TRCN0000010171:1	TA.KD010_A549_96H:TRCN0000288786:1	0.4898	0.0014	-0.0197	0.0038
TA.KD010_A549_96H:TRCN0000010171:1	TA.KD010_A549_96H:TRCN0000295914:1	0.5	0.002	-0.0265	0.0057
TA.KD010_A549_96H:TRCN0000010171:1	TA.KD010_A549_96H:TRCN0000039795:1	0.4796	-0.0497	-0.0686	-0.047
TA.KD010_A549_96H:TRCN0000010171:1	TA.KD010_A549_96H:TRCN0000221552:1	0.455	-0.0842	-0.1271	-0.0823
TA.KD010_A549_96H:TRCN0000010171:1	CGS001_A549_96H:AKT1:1	0.3691	-0.1794	-0.3011	-0.1764
TA.KD010_A549_96H:TRCN0000010163:1	TA.KD010_A549_96H:TRCN0000288786:1	0.5112	0.0501	0.0329	0.0511
TA.KD010_A549_96H:TRCN0000010163:1	TA.KD010_A549_96H:TRCN0000295914:1	0.5051	0.0466	0.0147	0.0481
TA.KD010_A549_96H:TRCN0000010163:1	TA.KD010_A549_96H:TRCN0000039795:1	0.5266	0.1332	0.0921	0.1341
TA.KD010_A549_96H:TRCN0000010163:1	TA.KD010_A549_96H:TRCN0000221552:1	0.4806	-0.0076	-0.081	-0.0068
TA.KD010_A549_96H:TRCN0000010163:1	CGS001_A549_96H:AKT1:1	0.5951	0.3216	0.2787	0.3223
TA.KD010_A549_96H:TRCN0000288786:1	TA.KD010_A549_96H:TRCN0000295914:1	0.5194	0.1345	0.0565	0.1371
TA.KD010_A549_96H:TRCN0000288786:1	TA.KD010_A549_96H:TRCN0000039795:1	0.5184	0.0936	0.0373	0.0955
TA.KD010_A549_96H:TRCN0000288786:1	TA.KD010_A549_96H:TRCN0000221552:1	0.5153	0.0569	0.0357	0.0582
TA.KD010_A549_96H:TRCN0000288786:1	CGS001_A549_96H:AKT1:1	0.5235	0.1433	0.1006	0.1451
TA.KD010_A549_96H:TRCN0000295914:1	TA.KD010_A549_96H:TRCN0000039795:1	0.4898	0.0644	-0.0018	0.0674
TA.KD010_A549_96H:TRCN0000295914:1	TA.KD010_A549_96H:TRCN0000221552:1	0.5174	0.1057	0.0556	0.1076
TA.KD010_A549_96H:TRCN0000295914:1	CGS001_A549_96H:AKT1:1	0.5276	0.239	0.1505	0.2414
TA.KD010_A549_96H:TRCN0000039795:1	TA.KD010_A549_96H:TRCN0000221552:1	0.5123	0.0711	0.026	0.0724
TA.KD010_A549_96H:TRCN0000039795:1	CGS001_A549_96H:AKT1:1	0.5102	0.1071	0.0581	0.1091
