drug-sample	target-sample	jaccard	pearson	spearman	cosine
CPC013_MCF7_6H:BRD-A02333338-001-01-1:10	CGS001_MCF7_96H:SMO:2	0.4622	-0.0882	-0.0858	-0.0881
LKCP001_A549_48H:J16	CGS001_A549_96H:ESR1:1	0.4908	0.0108	0.0018	0.0105
CPC004_HA1E_6H:BRD-A05352148-004-02-0:10	CGS001_HA1E_96H:CHRM1:1.5	0.7106	0.3578	0.4849	0.3568
CPC004_HA1E_6H:BRD-A05352148-004-02-0:10	CGS001_HA1E_96H:CHRM3:1.5	0.3528	-0.2681	-0.3675	-0.2629
CPC007_A549_24H:BRD-A05680309-014-05-1:10	TA.KD009_A549_96H:TRCN0000369106:1	0.5798	0.1822	0.199	0.1858
CPC007_A549_24H:BRD-A05680309-014-05-1:10	TA.KD009_A549_96H:TRCN0000376481:1	0.5184	0.1337	0.1023	0.1363
CPC007_A549_24H:BRD-A05680309-014-05-1:10	TA.KD009_A549_96H:TRCN0000003575:1	0.4407	-0.1212	-0.1695	-0.1167
CPC007_A549_24H:BRD-A05680309-014-05-1:10	TA.KD009_A549_96H:TRCN0000003577:1	0.5153	0.0174	0.0279	0.0211
CPC007_A549_24H:BRD-A05680309-014-05-1:10	TA.KD009_A549_96H:TRCN0000376482:1	0.5102	-0.0123	-0.0244	-0.0097
CPC007_A549_24H:BRD-A05680309-014-05-1:10	TA.KD009_A549_96H:TRCN0000003579:1	0.4867	0.0547	-0.0128	0.0593
CPC007_A549_24H:BRD-A05680309-014-05-1:10	TA.KD009_A549_96H:TRCN0000377309:1	0.4949	-0.0013	-0.0343	0.0001
CPC007_A549_24H:BRD-A05680309-014-05-1:10	TA.KD009_A549_96H:TRCN0000369107:1	0.4335	-0.1014	-0.1279	-0.0997
CPC007_A549_6H:BRD-A05680309-014-05-1:10	TA.KD009_A549_96H:TRCN0000369106:1	0.5521	0.0387	0.0565	0.0425
CPC007_A549_6H:BRD-A05680309-014-05-1:10	TA.KD009_A549_96H:TRCN0000376481:1	0.5092	0.08	0.0609	0.0825
CPC007_A549_6H:BRD-A05680309-014-05-1:10	TA.KD009_A549_96H:TRCN0000003575:1	0.4366	-0.0677	-0.1349	-0.0639
CPC007_A549_6H:BRD-A05680309-014-05-1:10	TA.KD009_A549_96H:TRCN0000003577:1	0.455	-0.0684	-0.1083	-0.065
CPC007_A549_6H:BRD-A05680309-014-05-1:10	TA.KD009_A549_96H:TRCN0000376482:1	0.454	-0.0315	-0.0787	-0.0291
CPC007_A549_6H:BRD-A05680309-014-05-1:10	TA.KD009_A549_96H:TRCN0000003579:1	0.4673	-0.0175	-0.0797	-0.0131
CPC007_A549_6H:BRD-A05680309-014-05-1:10	TA.KD009_A549_96H:TRCN0000377309:1	0.4714	-0.0279	-0.0496	-0.0267
CPC007_A549_6H:BRD-A05680309-014-05-1:10	TA.KD009_A549_96H:TRCN0000369107:1	0.4591	-0.0489	-0.0609	-0.0475
CPC004_HA1E_6H:BRD-A06352508-001-02-9:10	CGS001_HA1E_96H:CHEK1:1.5	0.4151	-0.1273	-0.1739	-0.1252
CPC016_A549_24H:BRD-A06352508-001-02-9:10	CGS001_A549_96H:CHEK1:1	0.4898	0.0208	-0.0025	0.0208
CPC004_PC3_24H:BRD-A06352508-001-02-9:10	CGS001_PC3_144H:CHEK1:2	0.4949	0.0144	0.0164	0.0128
CPC004_HCC515_6H:BRD-A06352508-001-02-9:10	CGS001_HCC515_96H:CHEK1:2	0.5399	0.1491	0.1332	0.1504
CPC004_HCC515_24H:BRD-A06352508-001-02-9:10	CGS001_HCC515_96H:CHEK1:2	0.4683	0.0749	-0.0024	0.0745
CPC004_HA1E_24H:BRD-A06352508-001-02-9:10	CGS001_HA1E_96H:CHEK1:1.5	0.4816	0.0417	0.0011	0.0424
MOAR006_PC3_24H:M07	CGS001_PC3_144H:CHEK1:2	0.5348	0.0751	0.0874	0.0752
PBIOA016_HA1E_24H:F01	CGS001_HA1E_96H:CHEK1:1.5	0.502	0.055	0.0467	0.0548
PBIOA016_A549_24H:F01	CGS001_A549_96H:CHEK1:1	0.5409	0.0689	0.0719	0.069
PBIOA016_HCC515_24H:F01	CGS001_HCC515_96H:CHEK1:2	0.6493	0.3174	0.346	0.318
PBIOA016_PC3_24H:F01	CGS001_PC3_144H:CHEK1:2	0.5143	-0.0223	-0.0026	-0.0225
PBIOA016_HCC515_24H:F02	CGS001_HCC515_96H:CHEK1:2	0.6186	0.3096	0.3541	0.3099
PBIOA016_PC3_24H:F02	CGS001_PC3_144H:CHEK1:2	0.5164	0.032	0.0481	0.0322
PBIOA016_HA1E_24H:F03	CGS001_HA1E_96H:CHEK1:1.5	0.4969	0.0355	0.0244	0.0342
CPC013_A375_6H:BRD-A10523515-001-02-0:10	CGS001_A375_96H:ROCK1:1	0.4918	0.052	-0.0024	0.0541
CPC013_A375_6H:BRD-A10523515-001-01-2:10	CGS001_A375_96H:ROCK1:1	0.5061	0.0385	0.0293	0.0377
REP.A005_A549_24H:N07	CGS001_A549_96H:ADRB2:1	0.4908	-0.0619	-0.0057	-0.0669
REP.A005_HA1E_24H:N07	CGS001_HA1E_96H:ADRB2:1.5	0.4867	-0.084	-0.0548	-0.0843
