Sample1	Sample2	Jaccard	Pearson	Spearman	Cosine
CGS001_PC3_96H:CD24:2	CGS001_PC3_144H:CD24:2	0.636	0.4477	0.4192	0.4482
CGS001_PC3_96H:SH2B3:2	CGS001_PC3_144H:SH2B3:2	0.5164	0.0085	0.004	0.0104
CGS001_PC3_96H:CDK4:2	CGS001_PC3_144H:CDK4:2	0.5685	0.2137	0.2275	0.2147
CGS001_MCF7_144H:TRIM13:2	CGS001_MCF7_96H:TRIM13:2	0.6595	0.5688	0.5352	0.5689
CGS001_PC3_144H:TRIM13:2	CGS001_PC3_96H:TRIM13:2	0.5869	0.2907	0.2871	0.2883
CGS001_MCF7_96H:CDKN1A:2	CGS001_MCF7_144H:CDKN1A:2	0.726	0.6472	0.6215	0.6473
CGS001_MCF7_96H:TCIRG1:2	CGS001_MCF7_144H:TCIRG1:2	0.6227	0.4	0.3873	0.3983
CGS001_MCF7_96H:AKR1A1:2	CGS001_MCF7_144H:AKR1A1:2	0.7577	0.7246	0.7236	0.7248
CGS001_PC3_144H:AKR1A1:2	CGS001_PC3_96H:AKR1A1:2	0.6217	0.3821	0.3549	0.3806
CGS001_PC3_96H:YAP1:2	CGS001_PC3_144H:YAP1:2	0.6677	0.6049	0.5558	0.6049
CGS001_MCF7_96H:PPIE:2	CGS001_MCF7_144H:PPIE:2	0.7331	0.632	0.6203	0.6319
CGS001_PC3_96H:PPIE:2	CGS001_PC3_144H:PPIE:2	0.6022	0.3671	0.3343	0.3647
CGS001_MCF7_96H:VAV3:2	CGS001_MCF7_144H:VAV3:2	0.6452	0.2783	0.3592	0.2776
CGS001_MCF7_144H:UBE2E3:2	CGS001_MCF7_96H:UBE2E3:2	0.7137	0.6321	0.599	0.6344
CGS001_PC3_96H:UBE2E3:2	CGS001_PC3_144H:UBE2E3:2	0.6278	0.3839	0.3865	0.3838
CGS001_MCF7_144H:CHERP:2	CGS001_MCF7_96H:CHERP:2	0.7495	0.621	0.6353	0.6206
CGS001_MCF7_144H:RPP38:2	CGS001_MCF7_96H:RPP38:2	0.7117	0.6016	0.6157	0.602
CGS001_MCF7_144H:YME1L1:2	CGS001_MCF7_96H:YME1L1:2	0.7311	0.6904	0.6569	0.6904
CGS001_PC3_144H:YME1L1:2	CGS001_PC3_96H:YME1L1:2	0.5706	0.34	0.2579	0.3367
CGS001_MCF7_144H:MTHFD2:2	CGS001_MCF7_96H:MTHFD2:2	0.729	0.618	0.5924	0.6155
CGS001_PC3_144H:CPSF4:2	CGS001_PC3_96H:CPSF4:2	0.59	0.2552	0.2607	0.2536
CGS001_PC3_96H:RNPS1:2	CGS001_PC3_144H:RNPS1:2	0.6258	0.3608	0.352	0.36
CGS001_PC3_96H:ASCC3:2	CGS001_PC3_144H:ASCC3:2	0.4959	0.0147	-0.0008	0.0159
CGS001_MCF7_96H:KIF2C:2	CGS001_MCF7_144H:KIF2C:2	0.7372	0.5775	0.5892	0.5775
CGS001_PC3_96H:KIF2C:2	CGS001_PC3_144H:KIF2C:2	0.6104	0.3844	0.362	0.3825
CGS001_MCF7_96H:AP4S1:2	CGS001_MCF7_144H:AP4S1:2	0.6319	0.3862	0.3812	0.3872
CGS001_PC3_96H:LSM6:2	CGS001_PC3_144H:LSM6:2	0.6115	0.3387	0.3199	0.3384
CGS001_MCF7_96H:NUDT6:2	CGS001_MCF7_144H:NUDT6:2	0.7975	0.7184	0.7354	0.7188
CGS001_PC3_96H:AKAP13:2	CGS001_PC3_144H:AKAP13:2	0.7025	0.5886	0.5818	0.5888
CGS001_PC3_96H:PMF1:2	CGS001_PC3_144H:PMF1:2	0.684	0.489	0.4808	0.4894
CGS001_MCF7_144H:PNKP:2	CGS001_MCF7_96H:PNKP:2	0.7679	0.6831	0.6873	0.6832
